plot,lat,long,Bauacu,Casgui,Eryhav,Forrha,Leuleu,Pisfra
ERF2,12.123,-61.723,0,0,0,0,0,0
ERF4,12.128,-61.709,0,0,0,0,0,0
ERF5,12.161,-61.68,0,0,0,0,0,0
ERF7a,12.106,-61.702,0,0,0,0,0,0
ERF8,12.161,-61.679,0,0,0,0,0,0
Mstdec13,12.079668,-61.629,0,0,0,0,0,1
Mstdec15,12.077,-61.638,0,0,0,0,0,1
mstdec19,12.0203,-61.704,0,0,0,0,0,0
MSTDEC1,12.077,-61.735,0,0,0,0,0,0
MSTDEC10a,12.064,-61.735,0,1,0,0,1,0
MSTDEC12,12.229,-61.66,0,0,0,0,0,0
MSTDEC14,12.034,-61.688,0,0,0,0,0,0
MSTDEC17a,12.086,-61.738,0,0,0,0,0,0
MSTDEC18a,12.144,-61.742,0,0,0,0,0,0
MSTDEC19,12.020319,-61.703,0,0,0,0,1,0
MSTDEC4,12.186,-61.713,0,0,0,0,0,0
MSTDEC5,12.068,-61.737,0,0,0,0,0,0
MSTDEC8,12.088,-61.73,0,0,0,0,0,0
MXER12,12.127,-61.72,0,1,0,0,0,0
MXERF13,12.094,-61.703,0,0,0,0,0,0
MXERF14,12.143,-61.705,0,0,0,0,0,0
MXERF15a,12.087,-61.704,0,0,0,0,0,0
MXERF2a,12.084,-61.693,0,0,0,0,0,0
MXERF4a,12.082,-61.706,0,0,0,0,0,0
MXERF5a,12.095,-61.704,0,0,0,0,0,0
MXERF6,12.133,-61.724,0,0,0,0,0,0
MXERF7,12.098,-61.705,0,0,0,0,0,0
MXERF8,12.072,-61.654,0,0,0,0,0,0
OSC1,12.049,-61.641,0,0,0,0,0,0
OSC2,12.014,-61.778,0,0,0,0,0,0
SC3,12.005714,-61.72,0,0,0,0,0,0
SC4,12.054,-61.75,0,0,0,0,0,0
SC5,12.007,-61.723,0,0,1,0,1,0
GW1,12.0188,-61.7672,0,0,0,1,0,1
GW2,12.0321,-61.7477,1,0,0,0,0,1
GW3,12.0243,-61.7449,0,0,0,1,1,1
GW4,12.0085,-61.7404,0,0,1,1,1,1
GW5,12.008,-61.7449,0,0,1,0,1,1
GW7,12.1087,-61.7447,0,1,0,0,1,1
GW8,12.0055,-61.7442,1,0,0,0,1,1
GW10,12.0943,-61.7358,0,0,1,1,1,0
GW11,12.0976,-61.74,0,0,0,0,0,0
GW12,12.0972,-61.738,0,1,0,0,0,1
GW13,12.0105,-61.7466,0,0,0,0,1,1
GW14,12.0146,-61.7472,0,0,0,0,1,1
GW15,12.0167,-61.6865,0,0,0,0,1,1
GW16,12.2177,-61.618,0,0,0,0,0,1
